                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.80737,                  1.055,                 0.9222,                0.95981,                0.17386,                0.19956,                0.16318,                0.74529,                 0.8519,                0.91682,             0.00039264,             0.00039264,             0.00039264
                     92,                0.77984,                 1.0548,                0.91428,                 0.9599,                0.17386,                0.19931,                0.16331,                0.74453,                0.85139,                0.91648,             0.00034227,             0.00034227,             0.00034227
                     93,                0.77299,                 1.0805,                0.90745,                0.95996,                0.17382,                0.19964,                0.16364,                0.74298,                0.85065,                0.91645,             0.00029655,             0.00029655,             0.00029655
                     94,                0.77713,                 1.0407,                0.90086,                0.96005,                0.17378,                0.19941,                0.16325,                0.74321,                0.85022,                0.91631,             0.00025551,             0.00025551,             0.00025551
                     95,                0.77329,                 1.0594,                0.89674,                 0.9602,                0.17352,                0.19916,                0.16357,                0.74272,                0.85001,                 0.9159,             0.00021921,             0.00021921,             0.00021921
                     96,                0.77766,                 1.0463,                0.90777,                0.96038,                0.17312,                0.19919,                0.16359,                0.74116,                0.84855,                 0.9155,             0.00018768,             0.00018768,             0.00018768
                     97,                0.78697,                 1.1109,                 0.9139,                0.96038,                0.17311,                  0.199,                0.16313,                0.74045,                0.84899,                0.91523,             0.00016094,             0.00016094,             0.00016094
                     98,                0.73635,                0.97826,                0.88166,                 0.9602,                0.17343,                0.19917,                0.16353,                0.74114,                0.84864,                0.91544,             0.00013903,             0.00013903,             0.00013903
                     99,                 0.7763,                 1.0966,                0.90361,                0.96021,                0.17343,                 0.1992,                0.16378,                0.74031,                0.84836,                 0.9147,             0.00012197,             0.00012197,             0.00012197
                    100,                0.77229,                 1.0724,                0.90124,                0.96023,                0.17337,                0.19904,                0.16377,                0.74035,                0.84948,                0.91434,             0.00010977,             0.00010977,             0.00010977
