                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     78,                0.75835,                0.92711,                 1.3469,                 1.1395,                0.50399,                0.62772,                0.58719,                0.52332,                0.50399,                0.62772,                0.58609,                0.52726,                0.58794,                0.60723,                 1.1468,                 1.0658,             8.0153e-05,             8.0153e-05,             8.0153e-05
                     79,                0.75274,                0.93821,                 1.3305,                 1.1493,                0.68635,                0.57612,                0.59505,                 0.5232,                0.68635,                0.57612,                0.59505,                0.53343,                0.59152,                0.62401,                 1.1735,                 1.0601,             7.4334e-05,             7.4334e-05,             7.4334e-05
                     80,                0.78284,                0.97915,                 1.3565,                 1.1598,                0.44034,                0.66642,                0.61005,                0.53015,                0.44034,                0.66642,                0.61005,                0.54418,                0.61644,                0.61481,                 1.1512,                  1.077,             6.8719e-05,             6.8719e-05,             6.8719e-05
                     81,                0.78953,                  1.029,                  1.314,                 1.1535,                0.77239,                0.47225,                0.60303,                 0.5322,                0.77239,                0.47225,                0.60303,                0.54559,                0.56526,                0.61207,                 1.1885,                 1.0564,             6.3314e-05,             6.3314e-05,             6.3314e-05
                     82,                0.78273,                 1.0219,                 1.3734,                 1.1536,                0.46381,                0.64488,                0.61981,                 0.5423,                0.46381,                0.64488,                0.61981,                0.55265,                0.57253,                0.59002,                  1.161,                 1.0496,             5.8122e-05,             5.8122e-05,             5.8122e-05
                     83,                0.79128,                 1.0285,                 1.3436,                 1.1611,                0.48286,                0.63023,                0.61733,                0.54384,                0.48286,                0.63023,                0.61997,                 0.5563,                0.55055,                0.60428,                 1.1416,                 1.0489,             5.3151e-05,             5.3151e-05,             5.3151e-05
                     84,                0.76108,                0.97732,                 1.3064,                 1.1289,                0.40715,                0.64999,                0.62789,                0.55257,                0.40715,                0.64999,                0.62789,                0.56319,                0.56668,                0.60105,                 1.1405,                 1.0576,             4.8404e-05,             4.8404e-05,             4.8404e-05
                     85,                0.78865,                 1.0101,                 1.3048,                 1.1623,                0.51439,                0.59867,                0.60312,                0.53557,                0.51439,                0.59867,                0.60312,                0.54195,                0.56855,                0.61272,                 1.1352,                 1.0595,             4.3887e-05,             4.3887e-05,             4.3887e-05
                     86,                0.73964,                0.93606,                 1.3247,                 1.1349,                0.46847,                0.62016,                0.58666,                0.52434,                0.46847,                0.62016,                0.58666,                0.51833,                0.56216,                0.63861,                 1.1384,                 1.0539,             3.9603e-05,             3.9603e-05,             3.9603e-05
                     87,                0.76544,                0.98119,                 1.3171,                 1.1544,                0.47744,                 0.5913,                0.64147,                0.56466,                0.47744,                 0.5913,                0.64147,                 0.5688,                0.56952,                0.63003,                 1.1106,                 1.0537,             3.5557e-05,             3.5557e-05,             3.5557e-05
                     88,                0.76639,                0.93878,                  1.313,                 1.1498,                0.50372,                 0.5932,                0.61248,                0.54246,                0.50372,                 0.5932,                0.61248,                0.54541,                0.57057,                0.60012,                 1.1387,                 1.0518,             3.1753e-05,             3.1753e-05,             3.1753e-05
                     89,                0.73714,                0.94564,                 1.2723,                 1.1232,                0.49899,                0.61077,                 0.6509,                0.58576,                0.49899,                0.61077,                 0.6509,                0.58598,                0.54945,                0.60457,                 1.1113,                 1.0453,             2.8196e-05,             2.8196e-05,             2.8196e-05
                     90,                0.74607,                0.89699,                 1.3149,                 1.1343,                0.62636,                0.61917,                0.63776,                0.56524,                0.62636,                0.61917,                0.63776,                0.56908,                0.56985,                 0.6122,                 1.0958,                 1.0548,             2.4887e-05,             2.4887e-05,             2.4887e-05
                     91,                0.73238,                0.89074,                 1.2887,                 1.1707,                0.50463,                0.64695,                0.61919,                0.54676,                0.50463,                0.64695,                0.61919,                0.55671,                0.57171,                0.62886,                 1.1262,                 1.0498,             2.1831e-05,             2.1831e-05,             2.1831e-05
                     92,                 0.7155,                0.81242,                 1.2717,                 1.1184,                0.49859,                0.65835,                0.64349,                0.57745,                0.49859,                0.65835,                0.64349,                0.57905,                0.58239,                0.63667,                  1.121,                 1.0504,              1.903e-05,              1.903e-05,              1.903e-05
                     93,                0.72753,                0.81965,                 1.2623,                 1.1457,                0.50122,                0.59918,                0.63421,                0.55226,                0.50122,                0.59918,                0.63421,                0.57178,                0.58432,                0.63043,                 1.0993,                 1.0502,             1.6488e-05,             1.6488e-05,             1.6488e-05
                     94,                0.69813,                0.82367,                 1.2445,                 1.1314,                0.51661,                0.61994,                0.64855,                0.57205,                0.51661,                0.61994,                0.64855,                0.58231,                0.57452,                0.63069,                 1.0931,                 1.0486,             1.4207e-05,             1.4207e-05,             1.4207e-05
                     95,                0.69622,                0.81104,                 1.2502,                 1.1356,                0.54342,                0.59695,                 0.6199,                 0.5457,                0.54342,                0.59695,                 0.6199,                 0.5544,                0.57848,                0.62643,                 1.1154,                 1.0532,             1.2188e-05,             1.2188e-05,             1.2188e-05
                     96,                 0.6956,                0.79986,                 1.2578,                 1.1387,                0.51555,                0.60845,                0.64736,                0.57236,                0.51555,                0.60845,                0.64736,                0.58154,                0.57065,                0.61593,                 1.0853,                 1.0434,             1.0435e-05,             1.0435e-05,             1.0435e-05
                     97,                0.71061,                0.88843,                 1.2229,                 1.1604,                0.61588,                0.63847,                0.63961,                0.56811,                0.61588,                0.63847,                0.63961,                 0.5806,                0.57035,                 0.6129,                 1.0862,                 1.0388,             8.9484e-06,             8.9484e-06,             8.9484e-06
                     98,                0.69788,                0.75997,                 1.2508,                 1.1241,                0.61645,                 0.6162,                0.65028,                0.57736,                0.61645,                 0.6162,                0.65028,                0.59002,                 0.5637,                0.61253,                 1.0876,                 1.0372,             7.7302e-06,             7.7302e-06,             7.7302e-06
                     99,                0.71603,                 0.7909,                 1.2727,                 1.1778,                0.51539,                0.59695,                0.64282,                0.57346,                0.51539,                0.59695,                0.64282,                0.57615,                0.57989,                0.62944,                  1.104,                 1.0477,             6.7814e-06,             6.7814e-06,             6.7814e-06
                    100,                0.69552,                0.79415,                 1.2627,                 1.1388,                0.51219,                0.60388,                0.63753,                0.57023,                0.51219,                0.60388,                0.63753,                 0.5771,                0.57664,                0.62958,                  1.101,                 1.0472,             6.1031e-06,             6.1031e-06,             6.1031e-06
